POÇO ANP;BLOCO;BACIA;BACIAS AGRUPADAS;ESTADO;AMBIENTE;OPERADOR;INÍCIO DA PERFURAÇÃO;CONCLUSÃO DO POÇO;PROFUNDIDADE FINAL (m);ATINGIU PRÉ-SAL?;NOTIFICAÇÃO DE DESCOBERTA ?;DATA DA 1ª DESCOBERTA;FLUIDO NOTIFICAÇÃO DESCOBERTA
1-GALP-42-RN;POT-T-743;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;22/03/2012;10/04/2012;1262;Não;Sim;07/04/2012;Gás e Petróleo
1-HRT-5-AM;SOL-T-192;Solimões;Nova Fronteira;AM;TERRA;Prio Comercial.;27/12/2011;12/04/2012;2962;Não;Sim;14/03/2012;Gás
1-BRSA-1015-MAS;BM-BAR-1;Barreirinhas;Margem Equatorial;MA;MAR;Petrobras;30/11/2011;19/04/2012;3285;Não;Sim;08/04/2012;Gás
3-OGX-74-SPS;S-M-314;Santos;Margem Leste;SP;MAR;PRIO;09/02/2012;19/04/2012;4439;Não;Sim;08/04/2012;Gás e Petróleo
1-PTRA-7-MG;SF-T-85;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;10/03/2012;22/04/2012;923;Não;Não;;
3-OGX-75-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;24/02/2012;22/04/2012;3714;Sim;Sim;24/03/2012;Petróleo
1-BRSA-1007-RJS;C-M-535;Campos;Margem Leste;RJ;MAR;Petrobras;06/11/2011;23/04/2012;5600;Sim;Sim;15/03/2012;Petróleo
1-PTRA-6-MG;SF-T-138;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;09/03/2012;23/04/2012;1077;Não;Sim;27/04/2012;Gás
3-BRSA-1032-RJS;BM-S-11;Santos;Margem Leste;RJ;MAR;Petrobras;29/12/2011;24/04/2012;6050;Sim;Sim;06/04/2012;Petróleo
1-SPT-2-RN;POT-T-603;Potiguar;Maduras;RN;TERRA;Sipet;22/04/2012;28/04/2012;550;Não;Não;;
1-BRSA-1034-RN;POT-T-609;Potiguar;Maduras;RN;TERRA;Petrobras;05/01/2012;30/04/2012;1845;Não;Sim;24/01/2012;Petróleo
1-STAR-21-RJS;S-M-225;Santos;Margem Leste;RJ;MAR;SHB;02/09/2011;01/05/2012;5286;Não;Não;;
1-OGX-77-MA;PN-T-85;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;16/03/2012;03/05/2012;2472;Não;Sim;29/04/2012;Gás
1-BRSA-1013-SES;SEAL-M-495;Sergipe;Margem Leste;SE;MAR;Petrobras;28/11/2011;07/05/2012;4270;Não;Não;;
1-PTRA-5-MG;SF-T-105;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;06/03/2012;09/05/2012;1450;Não;Sim;06/05/2012;Gás
1-SPT-1-RN;POT-T-603;Potiguar;Maduras;RN;TERRA;Sipet;29/03/2012;09/05/2012;1650;Não;Sim;14/04/2012;Petróleo
1-PTRA-3-MG;SF-T-118;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;14/08/2011;13/05/2012;2519;Não;Não;;
3-BRSA-1073-ES;CCNS;Espírito Santo;Maduras;ES;TERRA;Petrobras;29/04/2012;13/05/2012;1648;Não;Sim;12/05/2012;Petróleo
1-HRT-6-AM;SOL-T-170;Solimões;Nova Fronteira;AM;TERRA;Prio Comercial.;02/01/2012;18/05/2012;3384;Não;Sim;24/04/2012;Petróleo
1-PTRA-9-MG;SF-T-106;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;11/05/2012;19/05/2012;361;Não;Não;;
3-OGX-80-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;09/04/2012;19/05/2012;3020;Não;Sim;25/04/2012;Petróleo
1-STAR-27-BA;REC-T-130;Recôncavo;Maduras;BA;TERRA;SHB;03/04/2012;20/05/2012;1701;Não;Não;;
3-GALP-43-SE;SEAL-T-429;Sergipe;Maduras;SE;TERRA;Petrogal Brasil;27/04/2012;27/05/2012;1173;Não;Sim;24/05/2012;Petróleo
3-BRSA-957-SCS;BM-S-12;Santos;Margem Leste;SC;MAR;Petrobras;10/07/2011;28/05/2012;6552;Sim;Não;;
3-OGX-81-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;24/04/2012;28/05/2012;3661;Não;Sim;23/05/2012;Petróleo
1-BRSA-978-SES;SEAL-M-497;Sergipe;Margem Leste;SE;MAR;Petrobras;26/08/2011;02/06/2012;6300;Não;Não;;
1-OGX-79-RJS;C-M-466;Campos;Margem Leste;RJ;MAR;PRIO;04/04/2012;04/06/2012;2030;Não;Sim;25/04/2012;Petróleo
1-BRSA-1086-ESS;ES-M-588;Espírito Santo;Margem Leste;ES;MAR;Petrobras;04/06/2012;05/06/2012;1609;Não;Não;;
1-BRSA-886-RJS;S-M-330;Santos;Margem Leste;RJ;MAR;Petrobras;06/11/2010;05/06/2012;7080;Sim;Não;;
1-BRSA-1071-ESS;ES-M-661;Espírito Santo;Margem Leste;ES;MAR;Petrobras;23/04/2012;08/06/2012;2973;Sim;Sim;31/05/2012;Petróleo
3-STAR-28-RN;POT-T-748;Potiguar;Maduras;RN;TERRA;SHB;28/05/2012;09/06/2012;570;Não;Sim;04/06/2012;Petróleo
1-OGX-82-MA;PN-T-85;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;14/05/2012;14/06/2012;2050;Não;Sim;12/06/2012;Gás
3-OGX-84-RJS;C-M-499;Campos;Margem Leste;RJ;MAR;PRIO;31/05/2012;18/06/2012;2425;Não;Não;;
3-STAR-29-RN;POT-T-749;Potiguar;Maduras;RN;TERRA;SHB;05/06/2012;18/06/2012;633;Não;Sim;16/06/2012;Petróleo
1-PTRA-10-MG;SF-T-115;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;22/05/2012;24/06/2012;1377;Não;Sim;22/06/2012;Gás
1-PTRA-2-MG;SF-T-125;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;14/02/2012;27/06/2012;3000;Não;Sim;21/03/2012;Gás
1-BRSA-962-RNS;BM-POT-11;Potiguar;Margem Equatorial;RN;MAR;Petrobras;24/07/2011;29/06/2012;4620;Não;Sim;31/01/2012;Gás
1-BRSA-1005-MG;SF-T-112;São Francisco;Nova Fronteira;MG;TERRA;Petrobras;02/11/2011;02/07/2012;2846;Não;Sim;10/12/2011;Gás
3-OGX-83D-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;22/05/2012;03/07/2012;3795;Não;Sim;26/06/2012;Petróleo
1-OGX-86-RJS;C-M-466;Campos;Margem Leste;RJ;MAR;PRIO;16/06/2012;07/07/2012;1822;Não;Não;;
1-OGX-78-RJS;C-M-621;Campos;Margem Leste;RJ;MAR;PRIO;25/03/2012;09/07/2012;5005;Sim;Sim;08/06/2012;Petróleo
1-BRSA-1059-AM;SOL-T-171;Solimões;Nova Fronteira;AM;TERRA;Petrobras;12/03/2012;10/07/2012;3546;Não;Sim;05/07/2012;Gás e Petróleo
1-IMET-6D-BA;REC-T-163;Recôncavo;Maduras;BA;TERRA;Imetame;21/06/2012;11/07/2012;1479;Não;Não;;
3-BRSA-1031-SES;SEAL-M-495;Sergipe;Margem Leste;SE;MAR;Petrobras;26/12/2011;13/07/2012;3485;Não;Sim;10/06/2012;Petróleo
3-SHEL-27-RJS;S-M-518;Santos;Margem Leste;RJ;MAR;Shell Brasil;03/04/2012;18/07/2012;5377;Sim;Sim;29/06/2012;Gás e Petróleo
4-HRT-7D-AM;SOL-T-194;Solimões;Nova Fronteira;AM;TERRA;Prio Comercial.;29/01/2012;18/07/2012;3142;Não;Não;;
3-OGX-88-MA;PN-T-68;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;23/06/2012;21/07/2012;1731;Não;Sim;07/07/2012;Gás
1-BRSA-1022-SES;BM-SEAL-4;Sergipe;Margem Leste;SE;MAR;Petrobras;09/12/2011;23/07/2012;4126;Não;Sim;11/05/2012;Petróleo
1-PTRA-8-MG;SF-T-118;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;24/04/2012;31/07/2012;2422;Não;Sim;26/05/2012;Gás
1-OGX-87-RJS;C-M-620;Campos;Margem Leste;RJ;MAR;PRIO;20/06/2012;09/08/2012;4269;Sim;Sim;02/08/2012;Petróleo
1-PTRA-11-MG;SF-T-118;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;01/06/2012;12/08/2012;2790;Não;Não;;
3-BRSA-1069-SES;SEAL-M-426;Sergipe;Margem Leste;SE;MAR;Petrobras;08/04/2012;13/08/2012;5900;Não;Sim;10/07/2012;Petróleo
3-BRSA-1074-RN;POT-T-744;Potiguar;Maduras;RN;TERRA;Petrobras;03/05/2012;18/08/2012;1410;Não;Sim;21/05/2012;Gás e Petróleo
1-HRT-8-AM;SOL-T-169;Solimões;Nova Fronteira;AM;TERRA;Prio Comercial.;17/03/2012;21/08/2012;3345;Não;Sim;25/07/2012;Gás
3-OGX-90D-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;16/07/2012;21/08/2012;3475;Não;Sim;18/08/2012;Petróleo
4-GALP-45-SE;SEAL-T-429;Sergipe;Maduras;SE;TERRA;Petrogal Brasil;27/07/2012;22/08/2012;1240;Não;Sim;19/08/2012;Petróleo
1-BRSA-1081-ESS;ES-M-414;Espírito Santo;Margem Leste;ES;MAR;Petrobras;20/05/2012;24/08/2012;4405;Não;Sim;04/07/2012;Gás e Petróleo
4-OGX-91D-MA;PN-T-68;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;30/07/2012;24/08/2012;1700;Não;Sim;20/08/2012;Gás
3-OGX-89D-SPS;S-M-314;Santos;Margem Leste;SP;MAR;PRIO;03/07/2012;26/08/2012;4700;Não;Sim;26/08/2012;Gás e Petróleo
1-BRSA-1088-SES;SEAL-M-499;Sergipe;Margem Leste;SE;MAR;Petrobras;17/06/2012;03/09/2012;5470;Não;Sim;02/08/2012;Gás e Petróleo
1-OGX-94D-RJS;S-M-270;Santos;Margem Leste;RJ;MAR;PRIO;29/08/2012;09/09/2012;1924;Não;Não;;
1-BRSA-1080-CES;BM-CE-2;Ceará;Margem Equatorial;CE;MAR;Petrobras;12/05/2012;13/09/2012;5973;Não;Sim;29/07/2012;Petróleo
1-OGX-92-MA;PN-T-84;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;10/08/2012;13/09/2012;2110;Não;Não;;
3-OGX-95-MA;PN-T-68;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;30/08/2012;15/09/2012;1460;Não;Sim;14/09/2012;Gás
1-HRT-9-AM;SOL-T-191;Solimões;Nova Fronteira;AM;TERRA;Prio Comercial.;16/06/2012;18/09/2012;2960;Não;Sim;16/08/2012;Gás
1-VBEP-1-SPS;S-M-1100;Santos;Margem Leste;SP;MAR;Vanco;07/07/2012;19/09/2012;4200;Não;Sim;08/09/2012;Gás e Petróleo
3-BRSA-1097-RN;POT-T-609;Potiguar;Maduras;RN;TERRA;Petrobras;28/07/2012;07/10/2012;1176;Não;Sim;12/08/2012;Gás e Petróleo
1-OGX-93-MA;PN-T-84;Parnaíba;Nova Fronteira;MA;TERRA;Parnaíba Gás Natural;18/08/2012;13/10/2012;3318;Não;Não;;
